"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pgk1",3.10527803942151e-202,0.440162919553052,0.376,0.224,9.33167103626557e-198
"Gm15398",1.18265287368598e-199,0.564961767740358,0.402,0.257,3.55399015071374e-195
"Actg1",1.51837851883116e-199,0.4817582935044,0.537,0.375,4.56287928693953e-195
"Ywhah",2.71066848247102e-198,0.528352645561451,0.559,0.409,8.14582985667367e-194
"2900097C17Rik",9.82974666114016e-198,0.480767192675928,0.53,0.374,2.95393716913923e-193
"Ctsd",1.70267862042263e-197,0.440566125696682,0.302,0.172,5.11671952223205e-193
"mt-Co2",7.62581798829088e-197,0.508448721956417,0.645,0.508,2.29163456366129e-192
"Eef1a2",9.59866564762204e-195,0.454930564448482,0.452,0.295,2.8844950137669e-190
"Zbtb20",2.81484910619669e-194,-0.975080785322247,0.433,0.547,8.45890304903168e-190
"Rap1gap2",1.45660972754862e-190,0.470157172137047,0.498,0.367,4.37725789225635e-186
"Slc7a4",1.40645661052699e-188,0.453681776745142,0.304,0.182,4.22654276029467e-184
"Enc1",1.10302784715335e-186,0.473069347950907,0.471,0.323,3.31470898348054e-182
"Tagln3",2.31539137934083e-186,0.435053395765149,0.358,0.217,6.95798263405712e-182
"Myl6",6.96394999118311e-186,0.443166226288037,0.462,0.306,2.09273661185044e-181
"Tubb4b",1.22738388355794e-185,0.405530345974867,0.358,0.213,3.68841130847996e-181
"Dstn",2.2434649324916e-185,0.431971774221491,0.364,0.225,6.7418364686305e-181
"St6galnac5",9.60944231332652e-185,-0.696767354094644,0.267,0.407,2.88773350957775e-180
"6430548M08Rik",1.04448854283987e-183,0.485759369232555,0.289,0.17,3.1387925200881e-179
"mt-Nd2",3.30205866369269e-183,0.499496846842614,0.52,0.374,9.92301649026289e-179
"Hmgcr",4.7085206857361e-183,0.465123616274751,0.426,0.291,1.41495755127056e-178
"Colec12",1.81973107810454e-182,0.446899208912376,0.28,0.161,5.46847386281196e-178
"Fxyd6",2.70746151762606e-182,0.410260818409071,0.276,0.157,8.13619260661806e-178
"Stmn3",3.40807750947365e-182,0.398743500081463,0.649,0.497,1.02416137237193e-177
"Fhod3",3.03102213140936e-180,0.425504392810908,0.424,0.282,9.10852460709827e-176
"Srp14",2.27761916161685e-179,0.414909377232095,0.356,0.216,6.8444733425748e-175
